year,half_year,Publisher,count,alpha,ci_lower,ci_upper
2021,H1,JAPAN NEUROSURGICAL SOC,70,0.05491327953220117,0.014525061926454981,0.18636650174681324
2021,H1,JOHN BENJAMINS PUBLISHING CO,67,0.0,0.0,0.3375943168600146
2021,H1,JAPANESE SOC HYGIENE,67,0.13964224525073768,0.059420237760519155,0.2942840235800106
2021,H1,JOHN WILEY & SONS INC,54,0.1503093122260492,0.05265272709205134,0.36022065537109726
2021,H1,JOHNS HOPKINS UNIV PRESS,53,0.0,0.0,0.3567775268682372
2021,H1,INT UNION CRYSTALLOGRAPHY,221,0.025735351749788676,0.006753668190235751,0.09306759637702884
2021,H1,INTER-RESEARCH,210,0.009304002028699906,0.0013668183940348535,0.06053866817549378
2021,H1,KOREA HEALTH PERSONNEL LICENSING EXAMINATION INST,11,0.3024768826622438,0.06115321668556309,0.7427303356503936
2021,H1,JOURNAL STATISTICAL SOFTWARE,51,0.049519565367154406,0.007772664252738221,0.25733617210885545
2021,H1,KOREAN ASSOC STUDY LIVER,21,0.0,0.0,0.5207722143670113
2021,H1,KOREAN ASSOC ORTHODONTISTS,21,0.0,0.0,0.6124805393884089
2021,H1,KOREAN ACAD REHABILITATION MEDICINE,28,0.12212824501639738,0.008611188902470285,0.690228277628771
2021,H1,KOREAN ACAD PROSTHODONTICS,40,0.16021614967768433,0.04132986147249884,0.45778086414788544
2021,H1,KOREAN DIABETES ASSOC,44,0.12766196433227217,0.01425963761934855,0.5968549553668605
2021,H1,KOREAN BIOCHIP SOCIETY-KBCS,27,0.12490523967448006,0.02365858749898086,0.4567415583022627
2021,H1,KOREAN SOC ANESTHESIOLOGISTS,26,0.246869810623773,0.0847538862271109,0.537103523681638
2021,H1,KOREAN SOC LABORATORY MEDICINE,34,0.0,0.0,0.46874970827256
2021,H1,KOREAN SOC HORTICULTURAL SCIENCE,51,0.0,0.0,0.23165279787885387
2021,H1,KOREAN SOC COLOPROCTOLOGY,40,0.0,0.0,0.29716980456051745
2021,H1,KOREAN SOC NEPHROLOGY,36,0.0,0.0,0.39494485260097534
2021,H1,KOREAN SOC PHYCOLOGY,10,0.0,0.0,0.7685287967309395
2021,H1,KOREAN SOC PEDIATRIC ENDOCRINOLOGY,32,0.0,0.0,0.513610097684655
2021,H1,KOREAN SOC GINSENG,47,0.27640058095944386,0.11607014186596157,0.5263280066343249
2021,H1,KOREAN SOC STUDY OBESITY,19,0.0,0.0,0.33061002464825695
