year,month,Publisher,count,alpha,ci_lower,ci_upper
2022,12,AMER ASSOC CANCER RESEARCH,381,0.11471911619487744,0.07832482605834303,0.16499695258869093
2022,12,CSIRO PUBLISHING,258,0.0,0.0,0.31710040301218134
2022,12,Cherkas Global Univ Press,47,0.11089563946679475,0.032600051833806584,0.3158408837128378
2022,12,EDUCATIONAL PUBLISHING FOUNDATION-AMERICAN PSYCHOLOGICAL ASSOC,24,0.025915525293032912,9.771655661224219e-05,0.8786843826447744
2022,12,CHURCHILL LIVINGSTONE,115,0.11320432518873409,0.0514575740657685,0.23100029474445039
2022,12,EDP SCIENCES S A,154,0.0,0.0,0.11765999235068918
2022,11,SPRINGERNATURE,1060,0.054069421748069134,0.03643676301405673,0.07953067601807289
2022,12,DOVE MEDICAL PRESS LTD,135,0.05672747842615969,0.017247786278211278,0.1708634988783392
2022,12,COPERNICUS GESELLSCHAFT MBH,202,0.025242970344064527,0.008382230508115051,0.0735048528164418
2022,12,AMER GEOPHYSICAL UNION,441,0.03884542069915018,0.01908313570181651,0.07745726126073572
2022,12,AMER MEDICAL ASSOC,487,0.06271644508254945,0.03516784598373834,0.10939825933222763
2022,12,AIP Publishing,502,0.0041028816552442044,0.0005861660685343627,0.028124470719503396
2022,11,TAYLOR & FRANCIS LTD,871,0.04951699365741173,0.031224434117658764,0.07766694113606798
2022,12,CAMBRIDGE UNIV PRESS,558,0.02179914192332798,0.008522424016801845,0.05461966611230847
2022,12,ELSEVIER ESPANA,10,0.14504272068525748,0.019216659914702686,0.5949646433661998
2022,12,ACADEMIC PRESS LTD- ELSEVIER SCIENCE LTD,757,0.0459288462487317,0.026930453613879465,0.0772656465933289
2022,12,ELSEVIER INC,54,0.008261230235748448,2.5724233841219286e-07,0.9963064783783678
2022,12,ELSEVIER ADVANCED TECHNOLOGY,110,0.11180383068278621,0.04734419504759589,0.24175455573448373
2022,12,BMJ PUBLISHING GROUP,778,0.04478482089997366,0.02581684234506421,0.07659313511258703
2022,12,"ELSEVIER MASSON, CORP OFF",33,0.08522809588650289,0.021510702015179524,0.28308137475229517
2022,12,ACADEMIC PRESS INC ELSEVIER SCIENCE,1236,0.06103589529173592,0.04276854492344655,0.08640136193930663
2022,12,ELSEVIER GMBH,176,0.10410987355874533,0.05358371851295644,0.19258430081371866
2022,11,OXFORD UNIV PRESS INC,1654,0.1058333359936482,0.08649705540969539,0.12888235459140254
2022,11,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1030,0.019961473069550432,0.007813424770253182,0.05004424770107753
2022,11,PUBLIC LIBRARY SCIENCE,1452,0.06885993857473276,0.05299391498719746,0.08902957125621876
2022,11,WILEY-V C H VERLAG GMBH,1561,0.047122572681444534,0.031736341121779935,0.06943335727457538
2022,12,AMER PHYSICAL SOC,743,0.006044588998258051,0.0011968529402053354,0.029939041030949715
2022,12,ELSEVIER SCIENCE LONDON,49,0.1722910177608998,0.06120183201305169,0.39926469181268104
2022,12,ELSEVIER FRANCE-EDITIONS SCIENTIFIQUES MEDICALES ELSEVIER,370,0.06862426814922969,0.03814714527192557,0.12040266906589873
2022,12,ELSEVIER SINGAPORE PTE LTD,17,0.2149243850368832,0.05468975746274899,0.5643533766114587
2022,12,ELSEVIER TAIWAN,43,0.1461565410924308,0.03861277668665825,0.42181057225690666
2022,12,EUR CENTRE DIS PREVENTION & CONTROL,16,0.0,0.0,0.734719752435566
2022,12,EUROPEAN MATHEMATICAL SOC-EMS,38,0.0,0.0,0.3953989645614221
2022,12,EXCERPTA MEDICA INC-ELSEVIER SCIENCE INC,19,0.21106021711249515,0.05682030455806859,0.5429613193910863
2022,12,EUROPEAN RESPIRATORY SOC JOURNALS LTD,81,0.0,0.0,0.11462400656395634
2022,12,FERRATA STORTI FOUNDATION,50,0.0,0.0,0.4161760732030724
2022,12,ELSEVIER IRELAND LTD,578,0.08967147284853909,0.059530460722610964,0.13291645129043864
2022,12,ENDOCRINE SOC,77,0.03200983621214715,0.004890508658209619,0.1820081476363831
2022,12,FUTURE MEDICINE LTD,10,0.00012103736664214798,0.0,0.3501142371920725
2022,12,GEOMETRY & TOPOLOGY PUBLICATIONS,29,0.0,0.0,0.40854742304435127
2022,12,"GEOLOGICAL SOC AMER, INC",50,0.0,0.0,0.102233768095853
2022,12,GEORG THIEME VERLAG KG,56,0.0,0.0,0.17532378195545345
2022,12,HINDAWI LTD,11,0.0,0.0,0.6209462457794747
2022,12,GEOSCIENCEWORLD,19,0.09139783600483535,0.01300181070109538,0.4344319046053783
2022,12,HIGHER EDUCATION PRESS,60,0.0,0.0,0.17607592159070035
2022,12,HUMAN KINETICS PUBL INC,20,0.13599396443490455,0.025356754108154286,0.48777440627723484
2022,10,PERGAMON-ELSEVIER SCIENCE LTD,5288,0.04744786546971879,0.03922896057233956,0.057286051093557146
2022,12,INST BADAN GOSPODARCZYCH,10,0.0,0.0,0.7793878254396056
2022,12,INST MATHEMATICAL STATISTICS-IMS,23,0.0,0.0,0.21793602071223586
2022,12,INT SCIENTIFIC RESEARCH PUBLICATIONS,13,0.0,0.0,0.6240484206927996
2022,10,ELSEVIER SCI LTD,6404,0.03578398191022902,0.02906353179827975,0.04398801930898861
2022,12,"INST MATERIA MEDICA, CHINESE ACAD MEDICAL SCIENCES",19,0.08331350553126643,0.0009186272300068269,0.8998357911337087
2022,12,INT UNION CRYSTALLOGRAPHY,31,0.0,0.0,0.28500373741873486
2022,12,INTER-RESEARCH,16,0.0,0.0,0.6178540767187415
2022,12,IGI GLOBAL,28,0.17142525848592793,0.04938849203674304,0.45171807924064933
2022,12,INT SOC GLOBAL HEALTH,49,0.13647596568030124,0.03535938906688432,0.40526981749214896
