year,half_year,country_list,count,mean,ci_lower,ci_upper
2023,H2,FR,17514,0.5517300445357999,0.5443542316515304,0.5590831698262417
2023,H2,GA,42,0.6190476190476191,0.4681404026715268,0.7500027423604485
2023,H2,GB,44563,0.6067814105872585,0.6022372177909745,0.6113071952407099
2023,H2,GD,42,0.5714285714285714,0.4220623987810458,0.7088234882381393
2023,H2,GE,260,0.5,0.43966815931466346,0.5603318406853366
2023,H2,GF,50,0.5,0.3664451431682858,0.6335548568317142
2023,H2,GH,765,0.7032679738562092,0.6699460745244605,0.7345586467441283
2023,H2,GI,9,0.7777777777777778,0.45258896910698887,0.9367748928821533
2023,H2,GL,32,0.65625,0.4831108797896222,0.7958956207556682
2023,H2,GM,76,0.5263157894736842,0.41552028690262677,0.6345789980939448
2023,H2,GN,23,0.5652173913043478,0.3681137508501646,0.743653646743258
2023,H2,GP,41,0.4146341463414634,0.27756549454252133,0.5663289686596986
2023,H2,GQ,3,0.6666666666666666,0.2076596008020477,0.9385080552796037
2023,H2,GR,3573,0.6025748670584943,0.5864270192387153,0.6185023880159397
2023,H2,GT,75,0.5066666666666667,0.3959837845781367,0.6166998975220928
2023,H2,GU,24,0.5833333333333334,0.3883466586522876,0.7553239739018824
2023,H2,GW,9,0.5555555555555556,0.26665129349549305,0.8112214789023355
2023,H2,GY,16,0.625,0.38641040545502714,0.8151876744113636
2023,H2,HK,7135,0.6448493342676944,0.6336699228801017,0.6558728568444754
2023,H2,HN,42,0.5476190476190477,0.3994911903473349,0.6877660676654553
2023,H2,HR,1127,0.5980479148181012,0.5691368449900565,0.6262928487801662
2023,H2,HT,16,0.5,0.27999563610326017,0.7200043638967398
2023,H2,HU,2544,0.5966981132075472,0.577503542662729,0.6156010943219167
2023,H2,ID,1522,0.5946123521681997,0.569738399440941,0.6190099127346845
2023,H2,IE,3969,0.6165280927185689,0.6012953850295794,0.6315354514354073
2023,H2,IL,4362,0.5809261806510775,0.5662188872768059,0.5954910618038245
2023,H2,IM,1,1.0,0.20654931437723745,1.0
2023,H2,IN,12867,0.6239993782544494,0.6155941079269198,0.6323306303436407
2023,H2,IQ,759,0.6693017127799736,0.6350527719065933,0.7018455403551789
2023,H2,IR,5028,0.6382259347653142,0.6248432769337076,0.6513975409409025
2023,H2,IS,432,0.5902777777777778,0.5433055503178406,0.6356586083720039
2023,H2,IT,25156,0.5781920814119892,0.5720779152168272,0.584282370536118
2023,H2,JE,4,0.75,0.30064184258240184,0.9544127391902995
2023,H2,JM,46,0.5217391304347826,0.3813741307280403,0.6587531056595433
2023,H2,JO,943,0.6765641569459173,0.6460431994060144,0.705652427034717
2023,H2,JP,16550,0.5337160120845922,0.5261087882063369,0.5413075877917153
2023,H2,KE,842,0.6520190023752969,0.6192206939770557,0.683436497072583
2023,H2,KG,51,0.5686274509803921,0.43265302109302245,0.6949876389209046
2023,H2,KH,128,0.609375,0.5228464818201277,0.6895298089950423
2023,H2,KI,2,0.5,0.09453120573423074,0.9054687942657693
2023,H2,KN,18,0.4444444444444444,0.24559518127005633,0.6628358435795723
2023,H2,KP,3,0.3333333333333333,0.06149194472039621,0.7923403991979522
2023,H2,KR,15999,0.6016626039127445,0.594053230482707,0.6092231694223212
2023,H2,KW,416,0.6129807692307693,0.5653452932025101,0.6585487459046319
2023,H2,KY,6,0.5,0.18761630648265054,0.8123836935173494
2023,H2,KZ,535,0.5551401869158878,0.5127857253104392,0.5967084478534578
2023,H2,LA,36,0.5555555555555556,0.395810617556973,0.7045873125991978
2023,H2,LB,867,0.6782006920415224,0.6463769118432174,0.7084523132357678
2023,H2,LC,3,1.0,0.4385029682449546,1.0
2023,H2,LI,43,0.3023255813953488,0.1860200013584818,0.45105364177729607
2023,H2,LK,353,0.6487252124645893,0.5975687474431538,0.696679573217256
2023,H2,LR,19,0.6842105263157895,0.46010407675327475,0.8463562091220773
2023,H2,LS,12,0.5,0.2537815976337061,0.7462184023662939
2023,H2,LT,778,0.6041131105398457,0.569318332550956,0.6378848007343468
2023,H2,LU,490,0.6061224489795919,0.5621952131563082,0.6483986892842739
2023,H2,LV,397,0.5365239294710328,0.4873557723662915,0.5849920333854393
2023,H2,LY,93,0.7419354838709677,0.6446622365756588,0.8200147782896307
2023,H2,MA,741,0.6477732793522267,0.6126991539668789,0.6813231475665806
2023,H2,MC,45,0.7111111111111111,0.5663145942523844,0.8226991751715074
2023,H2,MD,54,0.5185185185185185,0.3885170019812708,0.6460602725338812
2023,H2,ME,99,0.4444444444444444,0.35046067385103263,0.5425785719342816
2023,H2,MG,92,0.6304347826086957,0.5284298907445389,0.7219836598766033
2023,H2,MK,105,0.6,0.5043671983324414,0.6885739862817366
2023,H2,ML,56,0.5714285714285714,0.4413762073081303,0.6923103731606176
2023,H2,MM,59,0.6440677966101694,0.5165549598185499,0.7539670859618668
2023,H2,MN,149,0.5100671140939598,0.43056182755192207,0.5890663546386148
2023,H2,MO,1163,0.6629406706792778,0.6352762509363499,0.6895322285147047
2023,H2,MP,2,0.5,0.09453120573423074,0.9054687942657693
2023,H2,MQ,26,0.46153846153846156,0.2875585353039122,0.6454206125314121
2023,H2,MR,9,0.2222222222222222,0.06322510711784671,0.5474110308930111
2023,H2,MS,1,1.0,0.20654931437723745,1.0
2023,H2,MT,190,0.5947368421052631,0.5237215333970435,0.6619972504947991
2023,H2,MU,32,0.71875,0.5462549057408342,0.8443541950225723
2023,H2,MV,11,0.9090909090909091,0.6226415635484043,0.9837678271141151
2023,H2,MW,191,0.6073298429319371,0.5366111799041057,0.6738163145734987
2023,H2,MX,3309,0.5255364158355998,0.5085027977415914,0.542510811602745
2023,H2,MY,2736,0.6980994152046783,0.6806294171046756,0.7150139134647451
2023,H2,MZ,122,0.5983606557377049,0.5096537937857946,0.6810623678425964
2023,H2,NA,48,0.5208333333333334,0.3832923230334281,0.6552868382304838
2023,H2,NC,36,0.6666666666666666,0.5033399787115652,0.7978538117569468
2023,H2,NE,23,0.6956521739130435,0.49134243731240795,0.8439597554678597
2023,H2,NG,1204,0.6661129568106312,0.6389833668363383,0.6921859245295583
2023,H2,NI,19,0.5789473684210527,0.3627590353425504,0.7685810871754576
2023,H2,NL,15553,0.5949334533530508,0.5871958846944303,0.6026241380792579
2023,H2,NO,5528,0.6199348769898697,0.6070600025445408,0.6326431794556683
2023,H2,NP,306,0.6078431372549019,0.5521265700717178,0.6608855950891567
2023,H2,NZ,2708,0.6174298375184638,0.598970563071157,0.6355564215102274
2023,H2,OM,310,0.6419354838709678,0.5871278080505046,0.6932685434407008
2023,H2,PA,170,0.6176470588235294,0.5427612435596936,0.6873334661335639
2023,H2,PE,672,0.5669642857142857,0.5292252923814733,0.6039420338092654
