Journal name,URL,JCR Abbreviation,Publisher,ISSN,eISSN,Category,Edition,Total Citations,2023 JIF,JIF Quartile,2023 JCI,% of Citable OA
Infectious Diseases,https://www.cdc.gov/index.html,INFECT DIS-NOR,TAYLOR & FRANCIS LTD,2374-4235,2374-4243,INFECTIOUS DISEASES,SCIE,"2,362",4,Q1,0.79,28.57%
Infectious Diseases and Therapy,https://link.springer.com/journal/40121,INFECT DIS THER,SPRINGER LONDON LTD,2193-8229,2193-6382,INFECTIOUS DISEASES,SCIE,"2,892",4.7,Q1,0.93,98.50%
Infectious Diseases of Poverty,https://idpjournal.biomedcentral.com/,INFECT DIS POVERTY,BMC,2095-5162,2049-9957,PARASITOLOGY,SCIE,"4,077",4.8,Q1,1.81,100%
Inflammation and Regeneration,https://inflammregen.biomedcentral.com/,INFLAMM REGEN,BMC,,1880-8190,"MEDICINE, RESEARCH & EXPERIMENTAL",SCIE,"1,600",5,Q1,0.88,100%
Influenza and Other Respiratory Viruses,https://onlinelibrary.wiley.com/journal/17502659,INFLUENZA OTHER RESP,WILEY,1750-2640,1750-2659,INFECTIOUS DISEASES,SCIE,"3,319",4.3,Q1,0.81,72.70%
InfoMat,https://onlinelibrary.wiley.com/journal/25673165,INFOMAT,WILEY,,2567-3165,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"6,532",22.7,Q1,2.48,88.84%
Informatics in Education,https://infedu.vu.lt/,INFORM EDUC,"VILNIUS UNIV, INST MATHEMATICS & INFORMATICS",1648-5831,2335-8971,EDUCATION & EDUCATIONAL RESEARCH,ESCI,519,2.1,Q1,1.35,97.78%
Information & Communications Technology Law,https://www.tandfonline.com/journals/cict20,INF COMMUN TECHNOL L,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1360-0834,1469-8404,LAW,ESCI,371,1.8,Q1,1.56,38.30%
Information & Culture,https://www.infoculturejournal.org/,INFORM CULT,UNIV TEXAS PRESS,2164-8034,2166-3033,HISTORY,AHCI,95,0.6,Q1,1.15,0%
Information Communication & Society,https://www.tandfonline.com/toc/rics20/current,INFORM COMMUN SOC,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1369-118X,1468-4462,SOCIOLOGY,SSCI,"8,179",4.2,Q1,1.73,34.03%
Information Fusion,https://www.sciencedirect.com/journal/information-fusion,INFORM FUSION,ELSEVIER,1566-2535,1872-6305,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,"18,627",14.8,Q1,3.44,14.02%
Information Processing in Agriculture,https://www.sciencedirect.com/journal/information-processing-in-agriculture,INFORM PROCESS AGR,ELSEVIER,2214-3173,2214-3173,"AGRICULTURE, MULTIDISCIPLINARY",ESCI,"2,573",7.7,Q1,2.04,97.04%
Information Technology & People,https://www.emeraldgrouppublishing.com/journal/itp,INFORM TECHNOL PEOPL,EMERALD GROUP PUBLISHING LTD,0959-3845,1758-5813,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,"3,763",4.9,Q1,1.34,7.69%
Information Technology & Tourism,https://link.springer.com/journal/40558,INF TECHNOL TOUR,SPRINGER HEIDELBERG,1098-3058,1943-4294,"HOSPITALITY, LEISURE, SPORT & TOURISM",SSCI,"1,181",6.3,Q1,1.99,25.32%
Information Technology for Development,https://www.tandfonline.com/journals/titd20,INFORM TECHNOL DEV,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0268-1102,1554-0170,DEVELOPMENT STUDIES,SSCI,"1,625",5.1,Q1,1.38,17.05%
Information and Organization,https://www.sciencedirect.com/journal/information-and-organization,INFORM ORGAN-UK,ELSEVIER SCI LTD,1471-7727,1873-7919,INFORMATION SCIENCE & LIBRARY SCIENCE,SSCI,"1,509",5.7,Q1,1.47,17.86%
Inland Waters,https://www.tandfonline.com/journals/tinw20,INLAND WATERS,TAYLOR & FRANCIS LTD,2044-2041,2044-205X,MARINE & FRESHWATER BIOLOGY,SCIE,"1,177",2.7,Q1,1,27.62%
Innovation,https://www.the-innovation.org/,INNOVATION-AMSTERDAM,CELL PRESS,2666-6758,2666-6758,MULTIDISCIPLINARY SCIENCES,ESCI,"5,344",33.2,Q1,4.51,88.21%
Innovation in Aging,https://academic.oup.com/innovateage,INNOV AGING,OXFORD UNIV PRESS,,2399-5300,GERIATRICS & GERONTOLOGY,SCIE,"1,971",4.9,Q1,0.9,95.24%
Innovation in Language Learning and Teaching,https://www.tandfonline.com/journals/rill20,INNOV LANG LEARN TEA,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1750-1229,1750-1237,EDUCATION & EDUCATIONAL RESEARCH,SSCI,838,3.1,Q1,1.56,16.36%
Innovative Food Science & Emerging Technologies,https://www.sciencedirect.com/journal/innovative-food-science-and-emerging-technologies,INNOV FOOD SCI EMERG,ELSEVIER SCI LTD,1466-8564,1878-5522,FOOD SCIENCE & TECHNOLOGY,SCIE,"15,032",6.3,Q1,1.45,12.37%
Innovative Higher Education,https://link.springer.com/journal/10755,INNOV HIGH EDUC,SPRINGER,0742-5627,1573-1758,EDUCATION & EDUCATIONAL RESEARCH,ESCI,"1,210",2.2,Q1,1.11,18.95%
Inorganic Chemistry Frontiers,https://www.rsc.org/journals-books-databases/about-journals/inorganic-chemistry-frontiers/,INORG CHEM FRONT,ROYAL SOC CHEMISTRY,2052-1553,2052-1553,"CHEMISTRY, INORGANIC & NUCLEAR",SCIE,"17,347",6.1,Q1,1.97,6.69%
Insect Conservation and Diversity,https://resjournals.onlinelibrary.wiley.com/journal/17524598,INSECT CONSERV DIVER,WILEY,1752-458X,1752-4598,ENTOMOLOGY,SCIE,"2,117",3.2,Q1,1.24,45.50%
Insect Science,https://onlinelibrary.wiley.com/journal/17447917,INSECT SCI,WILEY,1672-9609,1744-7917,ENTOMOLOGY,SCIE,"3,835",2.9,Q1,1.56,22.69%
Insect Systematics and Diversity,https://academic.oup.com/isd,INSECT SYST DIVER,OXFORD UNIV PRESS INC,,2399-3421,ENTOMOLOGY,SCIE,422,3.2,Q1,1.71,25%
Insects,https://www.insectimages.org/,INSECTS,MDPI,,2075-4450,ENTOMOLOGY,SCIE,"13,269",2.7,Q1,1.26,99.78%
Insights into Imaging,https://insightsimaging.springeropen.com/,INSIGHTS IMAGING,SPRINGER WIEN,1869-4101,1869-4101,"RADIOLOGY, NUCLEAR MEDICINE & MEDICAL IMAGING",SCIE,"6,165",4.1,Q1,1.18,99.66%
Integrative Organismal Biology,https://academic.oup.com/iob,INTEGR ORGANISM BIOL,OXFORD UNIV PRESS,,2517-4843,ZOOLOGY,SCIE,462,2.2,Q1,0.78,94.74%
Integrative Zoology,https://onlinelibrary.wiley.com/journal/17494877,INTEGR ZOOL,WILEY,1749-4877,1749-4869,ZOOLOGY,SCIE,"1,992",3.5,Q1,1.64,24.03%
Intelligent Medicine,https://www.sciencedirect.com/journal/intelligent-medicine,INTEL MED,ELSEVIER,2667-1026,2667-1026,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,256,4.4,Q1,0.6,100%
Intelligent Systems in Accounting Finance & Management,https://onlinelibrary.wiley.com/journal/21600074,INTELL SYST ACCOUNT,JOHN WILEY & SONS LTD,1055-615X,1099-1174,"BUSINESS, FINANCE",ESCI,441,3.5,Q1,0.84,20%
Intensive and Critical Care Nursing,https://www.sciencedirect.com/journal/intensive-and-critical-care-nursing,INTENS CRIT CARE NUR,ELSEVIER SCI LTD,0964-3397,1532-4036,NURSING,SCIE,"3,130",4.9,Q1,2.26,26.48%
Interactive Technology and Smart Education,https://www.emerald.com/insight/publication/issn/1741-5659,INTERACT TECHNOL SMA,EMERALD GROUP PUBLISHING LTD,1741-5659,1758-8510,EDUCATION & EDUCATIONAL RESEARCH,ESCI,790,3.5,Q1,1.86,4.30%
Intercultural Pragmatics,https://www.degruyter.com/journal/key/iprg/html?srsltid=AfmBOopCA3PilWcjp5XXOh-1O-9hFm-icN_ISh3SNf8ZOVzUVIexP--Q,INTERCULT PRAGMAT,DE GRUYTER MOUTON,1612-295X,1613-365X,LINGUISTICS,SSCI,665,1.8,Q1,1.7,24.24%
Interdisciplinary Materials,https://onlinelibrary.wiley.com/journal/2767441x,INTERD MATER,WILEY,2767-4401,2767-441X,"CHEMISTRY, PHYSICAL",ESCI,876,24.5,Q1,3.02,95.45%
Interdisciplinary Sciences-Computational Life Sciences,https://link.springer.com/journal/12539,INTERDISCIP SCI,SPRINGER HEIDELBERG,1913-2751,1867-1462,MATHEMATICAL & COMPUTATIONAL BIOLOGY,SCIE,"1,318",3.9,Q1,1.15,10.05%
Interface Focus,https://royalsocietypublishing.org/journal/rsfs,INTERFACE FOCUS,ROYAL SOC,2042-8898,2042-8901,BIOLOGY,SCIE,"3,154",3.6,Q1,1.06,66.21%
Internal and Emergency Medicine,https://link.springer.com/journal/11739,INTERN EMERG MED,SPRINGER-VERLAG ITALIA SRL,1828-0447,1970-9366,"MEDICINE, GENERAL & INTERNAL",SCIE,"4,471",3.2,Q1,0.82,38.84%
International & Comparative Law Quarterly,https://www.cambridge.org/core/journals/international-and-comparative-law-quarterly,INT COMP LAW Q,CAMBRIDGE UNIV PRESS,0020-5893,1471-6895,LAW,SSCI,"1,577",1.6,Q1,2.29,60.71%
International Braz J Urol,https://intbrazjurol.com.br/,INT BRAZ J UROL,BRAZILIAN SOC UROL,1677-5538,1677-6119,UROLOGY & NEPHROLOGY,SCIE,"2,554",3.1,Q1,0.9,97.06%
International Breastfeeding Journal,https://internationalbreastfeedingjournal.biomedcentral.com/,INT BREASTFEED J,BMC,1746-4358,1746-4358,OBSTETRICS & GYNECOLOGY,SCIE,"2,213",2.9,Q1,1.28,99.21%
International Business Review,https://www.sciencedirect.com/journal/international-business-review,INT BUS REV,ELSEVIER,0969-5931,1873-6149,BUSINESS,SSCI,"8,442",5.9,Q1,1.34,18.18%
International Data Privacy Law,https://academic.oup.com/idpl,INT DATA PRIV LAW,OXFORD UNIV PRESS,2044-3994,2044-4001,LAW,SSCI,562,2.6,Q1,2.94,48.53%
International Entrepreneurship and Management Journal,https://link.springer.com/journal/11365,INT ENTREP MANAG J,SPRINGER,1554-7191,1555-1938,BUSINESS,SSCI,"4,620",6.2,Q1,1.19,31.19%
International Environmental Agreements-Politics Law and Economics,https://link.springer.com/journal/10784,INT ENVIRON AGREEM-P,SPRINGER,1567-9764,1573-1553,ECONOMICS,SSCI,"1,266",2.9,Q1,1.51,51.72%
International Forum of Allergy & Rhinology,https://onlinelibrary.wiley.com/journal/20426984,INT FORUM ALLERGY RH,WILEY,2042-6976,2042-6984,OTORHINOLARYNGOLOGY,SCIE,"6,031",7.2,Q1,2.89,19.86%
International Immunopharmacology,https://www.sciencedirect.com/journal/international-immunopharmacology,INT IMMUNOPHARMACOL,ELSEVIER,1567-5769,1878-1705,PHARMACOLOGY & PHARMACY,SCIE,"33,229",4.8,Q1,1.24,13.44%
International Journal for Educational Integrity,https://edintegrity.biomedcentral.com/,INT J EDUC INTEGR,BMC,1833-2595,1833-2595,EDUCATION & EDUCATIONAL RESEARCH,ESCI,493,3.8,Q1,1.95,100%
International Journal for Equity in Health,https://equityhealthj.biomedcentral.com/,INT J EQUITY HEALTH,BMC,,1475-9276,"PUBLIC, ENVIRONMENTAL & OCCUPATIONAL HEALTH",SSCI,"8,748",4.5,Q1,1.19,99.86%
International Journal for Parasitology-Drugs and Drug Resistance,https://www.sciencedirect.com/journal/international-journal-for-parasitology-drugs-and-drug-resistance,INT J PARASITOL-DRUG,ELSEVIER SCI LTD,2211-3207,2211-3207,PARASITOLOGY,SCIE,"1,672",4.1,Q1,1.15,93.28%
International Journal of Accounting Information Systems,https://www.sciencedirect.com/journal/international-journal-of-accounting-information-systems,INT J ACCOUNT INF SY,ELSEVIER,1467-0895,1873-4723,"BUSINESS, FINANCE",SSCI,"1,176",4.1,Q1,1.01,24.64%
International Journal of Advertising,https://www.tandfonline.com/journals/rina20,INT J ADVERT,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",0265-0487,1759-3948,BUSINESS,SSCI,"4,060",5.3,Q1,1.44,11.05%
International Journal of Agricultural Sustainability,https://www.tandfonline.com/toc/tags20/current,INT J AGR SUSTAIN,TAYLOR & FRANCIS LTD,1473-5903,1747-762X,"AGRICULTURE, MULTIDISCIPLINARY",SCIE,"1,846",3.3,Q1,0.83,60.12%
International Journal of Antimicrobial Agents,https://www.sciencedirect.com/journal/international-journal-of-antimicrobial-agents,INT J ANTIMICROB AG,ELSEVIER,0924-8579,1872-7913,MICROBIOLOGY,SCIE,"14,856",4.9,Q1,2.43,24.68%
International Journal of Applied Earth Observation and Geoinformation,https://www.sciencedirect.com/journal/international-journal-of-applied-earth-observation-and-geoinformation,INT J APPL EARTH OBS,ELSEVIER,1569-8432,1872-826X,REMOTE SENSING,SCIE,"18,846",7.6,Q1,1.56,97.15%
International Journal of Art Therapy,https://www.tandfonline.com/journals/rart20,INT J ART THER,TAYLOR & FRANCIS LTD,1745-4832,1745-4840,REHABILITATION,ESCI,424,2.3,Q1,0.9,13.70%
International Journal of Artificial Intelligence in Education,https://link.springer.com/journal/40593,INT J ARTIF INTELL E,SPRINGER,1560-4292,1560-4306,"COMPUTER SCIENCE, INTERDISCIPLINARY APPLICATIONS",ESCI,"1,776",4.7,Q1,0.73,39.67%
International Journal of Bank Marketing,https://www.emerald.com/insight/publication/issn/0265-2323,INT J BANK MARK,EMERALD GROUP PUBLISHING LTD,0265-2323,1758-5937,BUSINESS,SSCI,"4,511",6.3,Q1,1.15,3.93%
International Journal of Behavioral Nutrition and Physical Activity,https://ijbnpa.biomedcentral.com/,INT J BEHAV NUTR PHY,BMC,,1479-5868,NUTRITION & DIETETICS,SCIE,"14,337",5.6,Q1,1.65,99.78%
International Journal of Bilingual Education and Bilingualism,https://www.tandfonline.com/toc/rbeb20/current,INT J BILING EDUC BI,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1367-0050,1747-7522,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,159",2.5,Q1,2.1,16.47%
International Journal of Biological Macromolecules,https://www.sciencedirect.com/journal/international-journal-of-biological-macromolecules,INT J BIOL MACROMOL,ELSEVIER,0141-8130,1879-0003,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"153,452",7.7,Q1,1.47,4.31%
International Journal of Biological Sciences,https://www.ijbs.com/,INT J BIOL SCI,IVYSPRING INT PUBL,1449-2288,1449-2288,BIOCHEMISTRY & MOLECULAR BIOLOGY,SCIE,"17,370",8.2,Q1,1.87,99.05%
International Journal of Bioprinting,https://accscience.com/journal/IJB,INT J BIOPRINTING,Accscience Publishing,2424-7723,2424-8002,"MATERIALS SCIENCE, BIOMATERIALS",SCIE,"1,805",6.8,Q1,1.22,98.29%
International Journal of Business Communication,https://journals.sagepub.com/home/job,INT J BUS COMMUN,SAGE PUBLICATIONS INC,2329-4884,2329-4892,COMMUNICATION,SSCI,983,3.1,Q1,1.16,8.13%
International Journal of Clinical and Health Psychology,https://www.sciencedirect.com/journal/international-journal-of-clinical-and-health-psychology,INT J CLIN HLTH PSYC,ELSEVIER SCIENCE INC,1697-2600,1576-7329,"PSYCHOLOGY, CLINICAL",SSCI,"1,935",5.3,Q1,2.16,96.39%
International Journal of Coal Science & Technology,https://link.springer.com/journal/40789,INT J COAL SCI TECHN,SPRINGERNATURE,2095-8293,2198-7823,MINING & MINERAL PROCESSING,ESCI,"2,453",6.9,Q1,1.6,100%
International Journal of Computer-Supported Collaborative Learning,https://link.springer.com/journal/11412,INT J COMP-SUPP COLL,SPRINGER,1556-1607,1556-1615,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"1,292",4.2,Q1,1.98,45.16%
International Journal of Concrete Structures and Materials,https://ijcsm.springeropen.com/,INT J CONCR STRUCT M,SPRINGER,1976-0485,2234-1315,"ENGINEERING, CIVIL",SCIE,"2,312",3.6,Q1,0.71,100%
International Journal of Construction Management,https://www.tandfonline.com/journals/tjcm20,INT J CONSTR MANAG,TAYLOR & FRANCIS LTD,1562-3599,2331-2327,CONSTRUCTION & BUILDING TECHNOLOGY,ESCI,"3,602",3.4,Q1,0.74,8.99%
International Journal of Consumer Studies,https://onlinelibrary.wiley.com/journal/14706431,INT J CONSUM STUD,WILEY,1470-6423,1470-6431,BUSINESS,SSCI,"6,728",8.6,Q1,1.42,17.99%
International Journal of Contemporary Hospitality Management,https://www.emerald.com/insight/publication/issn/0959-6119,INT J CONTEMP HOSP M,EMERALD GROUP PUBLISHING LTD,0959-6119,1757-1049,"HOSPITALITY, LEISURE, SPORT & TOURISM",SSCI,"15,139",9.1,Q1,2.4,3.22%
International Journal of Corpus Linguistics,https://benjamins.com/catalog/ijcl?srsltid=AfmBOorSCtD4bhqtaMIJXMQZP2ErJqzYU85OBX9v899XgAEm-ff5DjE2,INT J CORPUS LINGUIS,JOHN BENJAMINS PUBLISHING CO,1384-6655,1569-9811,LINGUISTICS,SSCI,928,1.6,Q1,1.12,12.90%
International Journal of Critical Infrastructure Protection,https://www.sciencedirect.com/journal/international-journal-of-critical-infrastructure-protection,INT J CRIT INFR PROT,ELSEVIER,1874-5482,2212-2087,"ENGINEERING, MULTIDISCIPLINARY",SCIE,"1,047",4.1,Q1,1.23,14.41%
International Journal of Cultural Studies,https://journals.sagepub.com/home/ics,INT J CULTURAL STUD,SAGE PUBLICATIONS INC,1367-8779,1460-356X,CULTURAL STUDIES,AHCI,"1,280",1.5,Q1,1.65,36.88%
International Journal of Digital Earth,https://www.tandfonline.com/journals/tjde20,INT J DIGIT EARTH,TAYLOR & FRANCIS LTD,1753-8947,1753-8955,"GEOGRAPHY, PHYSICAL",SCIE,"3,112",3.7,Q1,1.03,86.35%
International Journal of Disaster Risk Reduction,https://www.sciencedirect.com/journal/international-journal-of-disaster-risk-reduction,INT J DISAST RISK RE,ELSEVIER,2212-4209,2212-4209,METEOROLOGY & ATMOSPHERIC SCIENCES,SCIE,"15,811",4.2,Q1,1.09,26.68%
International Journal of Discrimination and the Law,https://journals.sagepub.com/home/jdi,INT J DISCRIM LAW,SAGE PUBLICATIONS INC,1358-2291,2047-9468,LAW,ESCI,155,1.2,Q1,1.29,36.36%
International Journal of Distance Education Technologies,https://www.igi-global.com/journal/international-journal-distance-education-technologies/1078,INT J DIST EDUC TECH,IGI GLOBAL,1539-3100,1539-3119,EDUCATION & EDUCATIONAL RESEARCH,ESCI,271,3.3,Q1,1.49,63.64%
International Journal of Dynamics and Control,https://link.springer.com/journal/40435,INT J DYNAM CONTROL,SPRINGERNATURE,2195-268X,2195-2698,"MATHEMATICS, APPLIED",ESCI,"1,682",2.2,Q1,0.65,4.26%
International Journal of Economic Sciences,https://www.eurrec.org/ijoes-about.html,INT J ECON SCI,EUROPEAN RESEARCH CENTER,,1804-9796,ECONOMICS,ESCI,233,3,Q1,0.73,0%
International Journal of Educational Research,https://www.sciencedirect.com/journal/international-journal-of-educational-research,INT J EDUC RES,ELSEVIER SCI LTD,0883-0355,1873-538X,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"4,540",2.6,Q1,1.38,34.97%
International Journal of Educational Technology in Higher Education,https://educationaltechnologyjournal.springeropen.com/,INT J EDUC TECHNOL H,SPRINGER,2365-9440,2365-9440,EDUCATION & EDUCATIONAL RESEARCH,SSCI,"3,322",8.6,Q1,4,99.46%
International Journal of Emerging Markets,https://www.emeraldgrouppublishing.com/journal/ijoem,INT J EMERG MARK,EMERALD GROUP PUBLISHING LTD,1746-8809,1746-8817,ECONOMICS,SSCI,"3,054",2.7,Q1,0.73,3.89%
International Journal of Engineering Business Management,https://journals.sagepub.com/home/enb,INT J ENG BUS MANAG,SAGE PUBLICATIONS INC,1847-9790,1847-9790,BUSINESS,ESCI,924,4.9,Q1,0.6,95%
International Journal of Extreme Manufacturing,https://iopscience.iop.org/journal/2631-7990,INT J EXTREME MANUF,IOP Publishing Ltd,2631-8644,2631-7990,"MATERIALS SCIENCE, MULTIDISCIPLINARY",SCIE,"2,126",16.1,Q1,1.82,100%
International Journal of Fatigue,https://www.sciencedirect.com/journal/international-journal-of-fatigue,INT J FATIGUE,ELSEVIER SCI LTD,0142-1123,1879-3452,"ENGINEERING, MECHANICAL",SCIE,"28,303",5.7,Q1,1.39,12.50%
International Journal of Health Policy and Management,https://www.ijhpm.com/,INT J HEALTH POLICY,KERMAN UNIV MEDICAL SCIENCES,,2322-5939,HEALTH CARE SCIENCES & SERVICES,SCIE,"3,617",4,Q1,0.98,98.17%
International Journal of Heritage Studies,https://www.tandfonline.com/journals/rjhs20,INT J HERIT STUD,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1352-7258,1470-3610,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"2,212",2,Q1,2.67,38.57%
International Journal of Hospitality Management,https://www.sciencedirect.com/journal/international-journal-of-hospitality-management,INT J HOSP MANAG,ELSEVIER SCI LTD,0278-4319,1873-4693,"HOSPITALITY, LEISURE, SPORT & TOURISM",SSCI,"21,937",10,Q1,2.74,8.80%
International Journal of Hydromechatronics,https://www.inderscience.com/jhome.php?jcode=ijhm,INT J HYDROMECHATRON,INDERSCIENCE ENTERPRISES LTD,2515-0464,2515-0472,"ENGINEERING, MECHANICAL",ESCI,361,5.3,Q1,1.18,0%
International Journal of Implant Dentistry,https://journalimplantdent.springeropen.com/,INT J IMPLANT DENT,SPRINGER JAPAN KK,,2198-4034,"DENTISTRY, ORAL SURGERY & MEDICINE",SCIE,"1,631",3.1,Q1,1.18,99.57%
International Journal of Intercultural Relations,https://www.sciencedirect.com/journal/international-journal-of-intercultural-relations,INT J INTERCULT REL,PERGAMON-ELSEVIER SCIENCE LTD,0147-1767,1873-7552,"SOCIAL SCIENCES, INTERDISCIPLINARY",SSCI,"4,748",2.4,Q1,1.16,21.79%
International Journal of Law and Information Technology,https://academic.oup.com/ijlit,INT J LAW INFORM TEC,OXFORD UNIV PRESS,0967-0769,1464-3693,LAW,ESCI,268,1.6,Q1,1.93,36.36%
International Journal of Law and Management,https://www.emerald.com/insight/publication/issn/1754-243x,INT J LAW MANAG,EMERALD GROUP PUBLISHING LTD,1754-243X,1754-2448,LAW,ESCI,765,1.3,Q1,1.47,4.30%
International Journal of Leadership in Education,https://www.tandfonline.com/journals/tedl20,INT J LEADERSH EDUC,TAYLOR & FRANCIS LTD,1360-3124,1464-5092,EDUCATION & EDUCATIONAL RESEARCH,ESCI,"1,477",2.4,Q1,1.36,19.22%
International Journal of Legal Discourse,https://www.degruyter.com/journal/key/ijld/html?srsltid=AfmBOoq_cGOnzqRRGZ29mYNRjQRG1YN_4wxLFy9YUBmvcTVl0gtx2s5W,INT J LEGAL DISCOURS,DE GRUYTER MOUTON,2364-8821,2364-883X,LINGUISTICS,ESCI,123,2,Q1,0.87,4.65%
International Journal of Logistics Management,https://www.emerald.com/insight/publication/issn/0957-4093,INT J LOGIST MANAG,EMERALD GROUP PUBLISHING LTD,0957-4093,1758-6550,MANAGEMENT,SSCI,"4,438",7.2,Q1,1.62,11.38%
International Journal of Logistics-Research and Applications,https://www.tandfonline.com/toc/cjol20/current,INT J LOGIST-RES APP,TAYLOR & FRANCIS LTD,1367-5567,1469-848X,MANAGEMENT,SSCI,"2,913",4.5,Q1,1.16,12.50%
International Journal of Management Education,https://www.sciencedirect.com/journal/the-international-journal-of-management-education,INT J MANAG EDUC-OXF,ELSEVIER SCI LTD,1472-8117,2352-3565,BUSINESS,SSCI,"3,267",6,Q1,2.1,21.98%
International Journal of Marine and Coastal Law,https://brill.com/view/journals/estu/estu-overview.xml,INT J MAR COAST LAW,MARTINUS NIJHOFF PUBL,0927-3522,1571-8085,LAW,SSCI,544,1.3,Q1,1.71,24.44%
International Journal of Mechanical System Dynamics,https://onlinelibrary.wiley.com/journal/27671402,INT J MECH SYST DYN,WILEY,2767-1399,2767-1402,"ENGINEERING, MECHANICAL",ESCI,174,3.4,Q1,0.51,89.33%
International Journal of Medical Sciences,https://www.medsci.org/,INT J MED SCI,IVYSPRING INT PUBL,1449-1907,1449-1907,"MEDICINE, GENERAL & INTERNAL",SCIE,"7,790",3.2,Q1,0.77,99.62%
International Journal of Mental Health Nursing,https://onlinelibrary.wiley.com/journal/14470349,INT J MENT HEALTH NU,WILEY,1445-8330,1447-0349,NURSING,SCIE,"4,285",3.6,Q1,1.4,38.90%
International Journal of Mental Health and Addiction,https://link.springer.com/journal/11469,INT J MENT HEALTH AD,SPRINGER,1557-1874,1557-1882,SUBSTANCE ABUSE,SCIE,"6,544",3.2,Q1,1.66,35.32%
International Journal of Minerals Metallurgy and Materials,https://link.springer.com/journal/12613,INT J MIN MET MATER,SPRINGER,1674-4799,1869-103X,METALLURGY & METALLURGICAL ENGINEERING,SCIE,"6,903",5.6,Q1,1.18,1.67%
International Journal of Mining Science and Technology,https://www.sciencedirect.com/journal/international-journal-of-mining-science-and-technology,INT J MIN SCI TECHNO,ELSEVIER,2095-2686,2212-6066,MINING & MINERAL PROCESSING,SCIE,"7,725",11.7,Q1,3.93,97.61%
International Journal of Multilingualism,https://www.tandfonline.com/journals/rmjm20,INT J MULTILING,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",1479-0718,1747-7530,LINGUISTICS,SSCI,"1,482",2,Q1,1.47,17.47%
International Journal of Multimedia Information Retrieval,https://link.springer.com/journal/13735,INT J MULTIMED INF R,SPRINGER,2192-6611,2192-662X,"COMPUTER SCIENCE, SOFTWARE ENGINEERING",SCIE,665,3.6,Q1,0.77,11.76%
International Journal of Nanomedicine,https://www.dovepress.com/international-journal-of-nanomedicine-journal,INT J NANOMED,DOVE MEDICAL PRESS LTD,1178-2013,1178-2013,NANOSCIENCE & NANOTECHNOLOGY,SCIE,"39,723",6.7,Q1,1.29,98.45%
International Journal of Neonatal Screening,https://www.mdpi.com/journal/IJNS,INT J NEONAT SCREEN,MDPI,,2409-515X,GENETICS & HEREDITY,ESCI,"1,102",4,Q1,1.16,100%
International Journal of Neural Systems,https://www.worldscientific.com/worldscinet/ijns?srsltid=AfmBOooFvM7tEAGrpSSwF06dAfZ0pL5mXEqg7P-f94Dnei29-ajEMQwi,INT J NEURAL SYST,WORLD SCIENTIFIC PUBL CO PTE LTD,0129-0657,1793-6462,"COMPUTER SCIENCE, ARTIFICIAL INTELLIGENCE",SCIE,"3,022",6.6,Q1,1.14,12.56%
International Journal of Numerical Analysis and Modeling,https://www.global-sci.org/ijnam/,INT J NUMER ANAL MOD,ISCI-INST SCIENTIFIC COMPUTING & INFORMATION,1705-5105,1705-5105,MATHEMATICS,SCIE,710,1.3,Q1,0.85,0%
International Journal of Nursing Sciences,https://www.sciencedirect.com/journal/international-journal-of-nursing-sciences,INT J NURS SCI,ELSEVIER,,2352-0132,NURSING,ESCI,"1,868",2.9,Q1,1.65,98.97%
International Journal of Nursing Studies Advances,https://www.sciencedirect.com/journal/international-journal-of-nursing-studies-advances,INT J NURS STUD ADV,ELSEVIER,2666-142X,2666-142X,NURSING,ESCI,362,3.1,Q1,1.51,92.48%
International Journal of Optimization and Control-Theories & Applications-IJOCTA,https://ijocta.org/,INT J OPTIMIZ CONTRO,RAMAZAN YAMAN,2146-0957,2146-5703,"MATHEMATICS, APPLIED",ESCI,295,2.2,Q1,0.85,98.61%
International Journal of Optomechatronics,https://www.tandfonline.com/toc/uopt20/current,INT J OPTOMECHATRONI,TAYLOR & FRANCIS INC,1559-9612,1559-9620,OPTICS,SCIE,278,6.7,Q1,1.28,96.30%
